date,county,state,fips,cases,deaths
3/27/2020,BARRANQUILLA,BARRANQUILLA,08001,1,1
3/27/2020,BOGOTA,BOGOTA,11001,38,2
3/27/2020,CALARCA,QUINDIO,63130,1,0
3/27/2020,MANIZALES,CALDAS,17001,1,0
3/27/2020,PUERTO COLOMBIA,ATLANTICO,08573,1,0
3/27/2020,SANTA MARTA,STA MARTA D.E.,47001,3,0
3/27/2020,SOLEDAD,ATLANTICO,08758,1,1
3/27/2020,TOCANCIPA,CUNDINAMARCA,25817,1,0
3/28/2020,BARRANQUILLA,BARRANQUILLA,08001,3,0
3/28/2020,BOGOTA,BOGOTA,11001,38,3
3/28/2020,CALI,VALLE,76001,8,1
3/28/2020,CARTAGENA,CARTAGENA,13001,1,0
3/28/2020,CARTAGO,VALLE,76147,1,0
3/28/2020,CHINCHINA,CALDAS,17174,1,0
3/28/2020,MEDELLIN,ANTIOQUIA,05001,4,0
3/28/2020,MONTEBELLO,ANTIOQUIA,05467,1,0
3/28/2020,MONTENEGRO,QUINDIO,63470,1,0
3/28/2020,MOSQUERA,CUNDINAMARCA,25473,1,0
3/28/2020,PALMIRA,VALLE,76520,2,0
3/28/2020,PASTO,NARIÑO,52001,1,0
3/28/2020,POLO NUEVO,ATLANTICO,08558,1,0
3/28/2020,SABANETA,ANTIOQUIA,05631,1,0
3/28/2020,SAHAGUN,CORDOBA,23660,1,0
3/28/2020,SANTA ROSA DE OSOS,ANTIOQUIA,05686,1,0
3/28/2020,TURBACO,BOLIVAR,13836,1,0
3/28/2020,VALLEDUPAR,CESAR,20001,1,0
3/28/2020,VILLAPINZON,CUNDINAMARCA,25873,1,1
3/29/2020,ARJONA,BOLIVAR,13052,2,0
3/29/2020,BARRANQUILLA,BARRANQUILLA,08001,4,0
3/29/2020,BELLO,ANTIOQUIA,05088,3,0
3/29/2020,BOGOTA,BOGOTA,11001,33,0
3/29/2020,BUCARAMANGA,SANTANDER,68001,3,0
3/29/2020,CALI,VALLE,76001,7,1
3/29/2020,CARTAGENA,CARTAGENA,13001,8,1
3/29/2020,DOSQUEBRADAS,RISARALDA,66170,2,0
3/29/2020,ENVIGADO,ANTIOQUIA,05266,5,0
3/29/2020,FLORIDABLANCA,SANTANDER,68276,1,0
3/29/2020,LA CEJA,ANTIOQUIA,05376,1,0
3/29/2020,MEDELLIN,ANTIOQUIA,05001,8,0
3/29/2020,MONTERIA,CORDOBA,23001,1,0
3/29/2020,NEIVA,HUILA,41001,2,0
3/29/2020,OICATA,BOYACA,15500,1,0
3/29/2020,PALMIRA,VALLE,76520,1,0
3/29/2020,PEREIRA,RISARALDA,66001,8,0
3/29/2020,RIONEGRO,ANTIOQUIA,05615,1,0
3/29/2020,SAN FRANCISCO,ANTIOQUIA,05652,1,1
3/29/2020,SINCELEJO,SUCRE,70001,1,0
3/29/2020,VALLEDUPAR,CESAR,20001,1,0
3/29/2020,VILLAMARIA,CALDAS,17873,1,0
3/30/2020,BARRANQUILLA,BARRANQUILLA,08001,1,0
3/30/2020,BOGOTA,BOGOTA,11001,55,3
3/30/2020,CAJICA,CUNDINAMARCA,25126,1,0
3/30/2020,CALI,VALLE,76001,7,2
3/30/2020,CARTAGENA,CARTAGENA,13001,3,1
3/30/2020,CARTAGO,VALLE,76147,2,0
3/30/2020,CHIA,CUNDINAMARCA,25175,1,0
3/30/2020,CIENAGA,MAGDALENA,47189,1,0
3/30/2020,ENVIGADO,ANTIOQUIA,05266,1,0
3/30/2020,LA DORADA,CALDAS,17380,1,0
3/30/2020,LA ESTRELLA,ANTIOQUIA,05380,1,0
3/30/2020,LOS PATIOS,NORTE SANTANDER,54405,1,0
3/30/2020,MEDELLIN,ANTIOQUIA,05001,8,0
3/30/2020,NEIVA,HUILA,41001,3,1
3/30/2020,PALERMO,HUILA,41524,2,0
3/30/2020,PALMIRA,VALLE,76520,4,1
3/30/2020,SANTANA,BOYACA,15686,1,0
3/30/2020,SOACHA,CUNDINAMARCA,25754,1,0
3/30/2020,SOPO,CUNDINAMARCA,25758,1,0
3/30/2020,VILLAPINZON,CUNDINAMARCA,25873,1,1
3/31/2020,BARRANQUILLA,BARRANQUILLA,08001,8,1
3/31/2020,BOGOTA,BOGOTA,11001,40,3
3/31/2020,BUCARAMANGA,SANTANDER,68001,2,0
3/31/2020,CAJICA,CUNDINAMARCA,25126,2,0
3/31/2020,CALI,VALLE,76001,8,0
3/31/2020,CARTAGENA,CARTAGENA,13001,2,0
3/31/2020,CARTAGO,VALLE,76147,1,0
3/31/2020,CHIA,CUNDINAMARCA,25175,1,0
3/31/2020,COTA,CUNDINAMARCA,25214,5,0
3/31/2020,CUCUTA,NORTE SANTANDER,54001,2,0
3/31/2020,DOSQUEBRADAS,RISARALDA,66170,1,0
3/31/2020,FLORIDABLANCA,SANTANDER,68276,1,0
3/31/2020,MEDELLIN,ANTIOQUIA,05001,4,0
3/31/2020,NEIVA,HUILA,41001,3,0
3/31/2020,PALMIRA,VALLE,76520,1,0
3/31/2020,PASTO,NARIÑO,52001,1,0
3/31/2020,PEREIRA,RISARALDA,66001,5,0
3/31/2020,PUERTO SANTANDER,NORTE SANTANDER,54553,1,0
3/31/2020,RIOHACHA,GUAJIRA,44001,1,0
3/31/2020,SABANETA,ANTIOQUIA,05631,1,0
3/31/2020,SANTA MARTA,STA MARTA D.E.,47001,3,1
3/31/2020,TOGUI,BOYACA,15816,1,0
3/31/2020,TUMACO,NARIÑO,52835,1,0
3/31/2020,TUNJA,BOYACA,15001,1,1
3/31/2020,VALLEDUPAR,CESAR,20001,7,0
3/31/2020,VILLAVICENCIO,META,50001,3,0
3/31/2020,YUMBO,VALLE,76892,1,0
3/31/2020,ZIPAQUIRA,CUNDINAMARCA,25899,1,1
4/1/2020,ARMENIA,QUINDIO,63001,2,0
4/1/2020,BARRANQUILLA,BARRANQUILLA,08001,3,1
4/1/2020,BELLO,ANTIOQUIA,05088,2,0
4/1/2020,BOGOTA,BOGOTA,11001,81,10
