date,county,state,fips,cases,deaths
2020-03-30,BOGOTA,BOGOTA,11001,55,3
2020-03-30,CAJICA,CUNDINAMARCA,25126,1,0
2020-03-30,CALI,VALLE,76001,7,2
2020-03-30,CARTAGENA,CARTAGENA,13001,3,1
2020-03-30,CARTAGO,VALLE,76147,2,0
2020-03-30,CHIA,CUNDINAMARCA,25175,1,0
2020-03-30,CIENAGA,MAGDALENA,47189,1,0
2020-03-30,ENVIGADO,ANTIOQUIA,5266,1,0
2020-03-30,LA DORADA,CALDAS,17380,1,0
2020-03-30,LA ESTRELLA,ANTIOQUIA,5380,1,0
2020-03-30,LOS PATIOS,NORTE SANTANDER,54405,1,0
2020-03-30,MEDELLIN,ANTIOQUIA,5001,8,0
2020-03-30,NEIVA,HUILA,41001,3,1
2020-03-30,PALERMO,HUILA,41524,2,0
2020-03-30,PALMIRA,VALLE,76520,4,1
2020-03-30,SANTANA,BOYACA,15686,1,0
2020-03-30,SOACHA,CUNDINAMARCA,25754,1,0
2020-03-30,SOPO,CUNDINAMARCA,25758,1,0
2020-03-30,VILLAPINZON,CUNDINAMARCA,25873,1,1
2020-03-31,BARRANQUILLA,BARRANQUILLA,8001,8,1
2020-03-31,BOGOTA,BOGOTA,11001,40,3
2020-03-31,BUCARAMANGA,SANTANDER,68001,2,0
2020-03-31,CAJICA,CUNDINAMARCA,25126,2,0
2020-03-31,CALI,VALLE,76001,8,0
2020-03-31,CARTAGENA,CARTAGENA,13001,2,0
2020-03-31,CARTAGO,VALLE,76147,1,0
2020-03-31,CHIA,CUNDINAMARCA,25175,1,0
2020-03-31,COTA,CUNDINAMARCA,25214,5,0
2020-03-31,CUCUTA,NORTE SANTANDER,54001,2,0
2020-03-31,DOSQUEBRADAS,RISARALDA,66170,1,0
2020-03-31,FLORIDABLANCA,SANTANDER,68276,1,0
2020-03-31,MEDELLIN,ANTIOQUIA,5001,4,0
2020-03-31,NEIVA,HUILA,41001,3,0
2020-03-31,PALMIRA,VALLE,76520,1,0
2020-03-31,PASTO,NARIÃ‘O,52001,1,0
2020-03-31,PEREIRA,RISARALDA,66001,5,0
2020-03-31,PUERTO SANTANDER,NORTE SANTANDER,54553,1,0
2020-03-31,RIOHACHA,GUAJIRA,44001,1,0
2020-03-31,SABANETA,ANTIOQUIA,5631,1,0
2020-03-31,SANTA MARTA,STA MARTA D.E.,47001,3,1
2020-03-31,TOGUI,BOYACA,15816,1,0
2020-03-31,TUMACO,NARIÃ‘O,52835,1,0
2020-03-31,TUNJA,BOYACA,15001,1,1
2020-03-31,VALLEDUPAR,CESAR,20001,7,0
2020-03-31,VILLAVICENCIO,META,50001,3,0
2020-03-31,YUMBO,VALLE,76892,1,0
2020-03-31,ZIPAQUIRA,CUNDINAMARCA,25899,1,1
2020-04-01,ARMENIA,QUINDIO,63001,2,0
2020-04-01,BARRANQUILLA,BARRANQUILLA,8001,3,1
2020-04-01,BELLO,ANTIOQUIA,5088,2,0
2020-04-01,BOGOTA,BOGOTA,11001,81,10
2020-04-01,CALI,VALLE,76001,23,0
2020-04-01,CARTAGO,VALLE,76147,1,0
2020-04-01,CIRCASIA,QUINDIO,63190,2,0
2020-04-01,COTA,CUNDINAMARCA,25214,1,0
2020-04-01,CUMBAL,NARIÃ‘O,52227,2,0
2020-04-01,ENVIGADO,ANTIOQUIA,5266,2,0
2020-04-01,FILANDIA,QUINDIO,63272,1,0
2020-04-01,FLORIDABLANCA,SANTANDER,68276,1,0
2020-04-01,FUNZA,CUNDINAMARCA,25286,1,0
2020-04-01,IBAGUE,TOLIMA,73001,5,0
2020-04-01,MADRID,CUNDINAMARCA,25430,1,0
2020-04-01,MEDELLIN,ANTIOQUIA,5001,1,0
2020-04-01,MONTENEGRO,QUINDIO,63470,2,0
2020-04-01,NEIVA,HUILA,41001,6,0
2020-04-01,PALMIRA,VALLE,76520,1,0
2020-04-01,PASTO,NARIÃ‘O,52001,1,0
2020-04-01,POPAYAN,CAUCA,19001,2,0
2020-04-01,SAN ANDRES,SAN ANDRES,88001,1,0
2020-04-01,SANTA MARTA,STA MARTA D.E.,47001,2,0
2020-04-01,SANTA ROSA DE OSOS,ANTIOQUIA,5686,1,0
2020-04-01,SANTANDER DE QUILICHAO,CAUCA,19698,1,1
2020-04-01,SOACHA,CUNDINAMARCA,25754,2,0
2020-04-01,TOCANCIPA,CUNDINAMARCA,25817,1,0
2020-04-01,TULUA,VALLE,76834,1,0
2020-04-01,ULLOA,VALLE,76845,1,0
2020-04-01,VALLEDUPAR,CESAR,20001,5,1
2020-04-01,VILLAVICENCIO,META,50001,1,0
2020-04-01,YOPAL,CASANARE,85001,1,0
2020-04-01,YUMBO,VALLE,76892,4,0
2020-04-02,ANSERMA,CALDAS,17042,1,0
2020-04-02,BARRANQUILLA,BARRANQUILLA,8001,1,0
2020-04-02,BELLO,ANTIOQUIA,5088,2,0
2020-04-02,BOGOTA,BOGOTA,11001,68,4
