"id" "rend"
"52427" 0.5
"52621" 0.4
"15753" 15
"19418" 4
"25645" 5
"25320" 8
"25797" 5
"52835" 1
"52250" 1.5
"52696" 0.6
"52390" 0.5
"52427" 0.5
"52621" 0.4
"15368" 1.5
"15183" 4
"15755" 2.5
"15542" 2.5
"25086" 2.71
"41132" 2.96
"41872" 2.38
"41001" 2.71
"41016" 3.09
"41524" 2.62
"41078" 2.71
"73268" 2.71
"73055" 2.08
"73275" 2.5
"73483" 2.5
"73319" 1.88
"73217" 2.71
"73001" 2.81
"73200" 2.47
"73030" 2.71
"76622" 3.02
"76400" 2.71
"05665" 3.5
"05842" 2.2
"13473" 2.5
"13430" 2
"20060" 1.5
"20295" 1.5
"20001" 1
"20013" 2.4
"20011" 3.4
"23162" 2.09
"23686" 1.8
"23189" 2
"23300" 1.8
"23678" 2
"23168" 2.5
"23417" 2.3
"23001" 1.5
"52320" 1.2
"52320" 1
"25815" 2
"25368" 0.75
"25245" 7
"25123" 7
"52612" 3.53
"05440" 22
"05001" 19
"25473" 23
"25754" 11
"54480" 12
"68780" 7
"68820" 20
"68092" 10
"68895" 20
"68682" 15
"05440" 22.3
"05001" 19
"25473" 23
"25754" 11
"54480" 12
"68092" 10
"25322" 8
"25183" 4
"25200" 14
"25758" 6
"25299" 16
"91001" 10
"91540" 10
"15832" 6
"18029" 5
"18860" 10
"18610" 5
"27413" 10
"50270" 0.8
"86568" 2
"76364" 0.8
"05148" 15
"05125" 10
"05697" 11.6
"15804" 15
"15599" 20
"15104" 5
"15001" 15
"15861" 8
"15380" 10
"15189" 20
"15798" 10
"15842" 8.95
"15761" 6.5
"15835" 10
"15377" 7
"15518" 7
"15764" 5
"15322" 5
"15455" 20
"15022" 7
"15299" 10
"15494" 6
"15660" 7.6
"15511" 6
"15172" 4.5
"15293" 8
"15808" 8.6
"15533" 10
"15753" 6
"15778" 4
"15774" 5.2
"85400" 10
"85136" 4.3
"85279" 4
"85015" 6
"19256" 11.38
"19807" 4.52
"19517" 12
"19364" 6
"19100" 6
"19450" 10
"19397" 8
"19392" 9
"19785" 3.2
"19022" 8
"19290" 2
"19743" 15
"19585" 17
"19622" 1
"20614" 1.5
"25281" 10
"25594" 7.7
"25151" 10
"25436" 10
"25649" 15
"25426" 10
"25875" 7
"25290" 12
"25653" 18
"25293" 7
"25312" 8
"25513" 16
"25839" 8
"25885" 4
"25845" 17
"25807" 7
"25841" 18
"25178" 7
"25797" 9
"25154" 14
"25777" 7
"41006" 13.5
"41020" 8
"41319" 7
"41396" 12
"41001" 6
"41668" 6
"41551" 6.5
"41799" 6
"41132" 7
"41298" 5.5
"41359" 6
"41206" 8
"41378" 3
"41306" 5
"41503" 5
"41676" 7
"41770" 5
"41801" 6
"41530" 4
"41244" 12
"41483" 7
"41524" 6
"41548" 9
"41615" 10
"41807" 6
"41349" 7
"41660" 5
"41078" 8
"44855" 8
"44110" 8
"44874" 5
"52260" 1.86
"52320" 4.68
"52036" 6
"52565" 6
"52678" 5.5
"52687" 2.33
"52022" 4
"52233" 5
"52323" 8
"52381" 2
"52019" 3
"52083" 3
"52203" 2
"52258" 3
"52480" 1.5
"52405" 2
"52694" 1
"54347" 18
"54480" 25
"54174" 15
"54498" 13
"54128" 10
"54377" 12
"54518" 10
"54743" 20
"54125" 20
"54599" 15
"54003" 10
"54385" 10
"54418" 14
"54520" 6.5
"54871" 10
"54109" 10
